SKU,EAN,Name (size in mm ),Height,Length,Width,Weight,step,date,EOL,storage,PSDS,OnOrder,stock,section
40583,7291044050868,Hyundai Rice Steaming Pot 900W 1.8L HARC-05MD1 7291044050868,230,280,280,2820,13,26/06/23,,Caesarea,38,0,45,"4003,4017,"
41208,7290011389642,Sachs Built In 4 Gas Hob 60m Turbo Cast Iron Black Glass EF-560GB-2 7290011389642,160,630,580,11560,13,26/06/23,,Caesarea,4,0,4,"4017,"
44066,6925781424354,Aurora Paper Shredder Flakes 16L AS1219CE 6925781424354,197,364,313,4750,13,26/06/23,,Caesarea,10,0,10,"4004,"
44616,7290011882594 7290013025685,Sachs Built In 4 Gas Hob 58X50Cm Turbo Nirosta EF-560SR 7290013025685 / 7290011882594,160,630,580,11560,13,26/06/23,,Caesarea,3,0,3,"4004,"
44785,7290005487682,Blue Star 16 Inch Standing Fan + Timer TFS601 7290005487682 111,160,542,436,6470,13,27/06/23,,Caesarea,1,0,0,"4003,"
44800,7290011286248,Blue Star 16 Inch Cyclone  Floor Fan + Aromatic Clip 15640 Grey 7290011286248 119,186,560,490,3636.667,13,27/06/23,,Caesarea,3,0,1,"4011,"
46619,7290015521765,Sachs Wet Dry Barrel Vacuum Cleaner 1200W HEPA Filter EF-948 7290015521765,365,540,437,10898.75,13,27/06/23,,Caesarea,3,0,3,"4013,"
60605,5056186701847,REGA Planar 1 PL1 Black Turntable With Cartridge Carbon 5056186701847,185,535,440,6322.5,13,26/06/23,,Caesarea,1,0,2,"4027,"
60712,5056186702240,REGA Planar 2 PL2 White Turntable With Cartridge Carbon 5056186702240,185,535,440,6322.5,13,26/06/23,END,Caesarea,1,0,2,"4020,"
61224,6921850625394,Omega Professional Mosquito Killer 2*20W IK219 6921850625394,70,100,100,120,13,26/06/23,,Caesarea,2,0,2,"4018,"
62097,6943478018402,Hape Doll Family Mansion 123405 6943478018402,90,270,190,600,13,03/07/23,,Caesarea,4,0,4,"4019,"
63544,7291057089503,Hunter Platform Trolley Aluminum 150 Kg 112514-004 7291057089503,112,784,416,8180,13,03/10/23,,Caesarea,4,0,5,"4023,"
65180,029743452440,Excalibur Food Dehydrator 9 Trays 4948CDHB 029743452440 019-01009,230,347,281,1500,13,27/06/23,,Caesarea,6,0,5,"4014,"
65368,7290011879280,Gold Line Designed Rotary Fan ATL-013 7290011879280,195,525,475,3322.5,13,27/06/23,,Caesarea,6,0,5,"4003,"
65369,7290010483648,Gold Line Adjustable Rotary Fan ATL-016 7290010483648,186,560,490,3636.667,13,27/06/23,,Caesarea,8,0,9,"4001,"
65386,7290001894651,Gold Line 16 Inch Fan With Remote ATL-1906-16WRC 7290001894651,180,490,436,3353.333,13,27/06/23,,Caesarea,34,0,34,"4007,"
66046,4511890212528,Urban Iki Windscreen Green 4511890212528 EOL,60,170,100,535,13,26/06/23,EOL,Caesarea,1,0,1,"4019,"
66048,4511890212665,Urban Iki Front Seat Ta-ke With Compact Adapter Bincho Black IKI212665 4511890212665,160,640,315,3017.5,13,03/10/23,,Caesarea,2,0,2,"4020,"
66060,4511890214003,Urban Iki Rear Seat Ta-ke Frame Mounting Aotake Mint Blue IKI214003 4511890214003,232,537,367,4766.25,13,03/10/23,,Caesarea,1,0,1,"4028,"
68481,3165140888059,Bosch Universal Hedge Pole 18 18V Cordless Hedgecutter - Body (0 600 8B3 001) 3165140888059 08B3.001,162,865,194,3611,13,26/06/23,,Caesarea,3,0,3,"4024,"
69420,0703113631924,Vitamix Ascent Series A3500i Blender Silver 0703113631924,300,430,330,8330,13,26/06/23,,Caesarea,2,0,2,"4026,"
69718,193015506718,Printer HP Laser MFP M137fnw Wireless All-in-One With Feeder +RJ45 (4ZB84A) 193015506718,282,474,342,11598.333,13,03/10/23,,Caesarea,48,40,86,"4013,4014,"
70083,7290104823848,Peled 1520 mm Fiber Handle 16 Tooth Gravel Rake 76411 7290104823848,40,1220,550,485,13,27/06/23,,Caesarea,1,0,1,"4025,"
70191,3362934402150,Thrustmaster TX-RW Force Feedback Racing Leather Wheel & Pedal for Xbox One & PC 3362934402150,315,410,355,6747.5,13,26/06/23,END,Caesarea,2,0,2,"4020,"
70192,3362932913771,Thrustmaster Hotas Warthog C.Panel With 2xThrottle & Stick Flight Simulator For PC 3362932913771,202,312,237,2066.25,13,26/06/23,,Caesarea,1,1,2,"4023,"
70709,7290017169477,Venta 26 Inch 3 Wings Garden Wall Fan 112599180 7290017169477,185,850,730,11070,13,03/07/23,,Caesarea,3,0,0,"4001,"
70713,7290017169484,Venta 26 Inch 3 Wings Garden Stand Fan 112599280 7290017169484,195,840,725,18220,13,03/07/23,,Caesarea,2,1,2,"4003,"
72793,7291044101140,GPT Sack Trolley 300 Kg Rubber Wheels TOT9916S 7291044101140,140,1320,500,20765,13,26/06/23,,Caesarea,2,0,2,"4007,"
75537,7291044100594,Hyundai Bathroom Heater 2200W HAHZ-2200 7291044100594,150,560,150,1925,13,26/06/23,,Caesarea,4,0,4,"4022,"
75936,6944271638712,Midea Gas Domino Hob Black Glass 30G20MA060-GFN 6714 6944271638712,160,560,370,8385,13,03/07/23,,Caesarea,2,0,2,"4017,"
76151,7290001895498,Gold Line Bathroom Heater  ATL-QH1500 7290001895498,145,449,243,1727.5,13,10/12/23,,Caesarea,4,0,5,"4021,"
76220,4006501550453,Leifheit Click System Floor Wiper Profi XL micro duo 55045 4006501550453,65,335,190,377.857,13,26/06/23,,Caesarea,5,0,5,"4019,"
76696,7290017361215,Hemilton Toaster Push Grill 4 Pieces 2000W HEM-1360 7290017361215,120,340,280,2190,13,26/06/23,,Caesarea,1,0,0,"4017,"
87812,7290109761787,NOA Sound Box V800W Multimedia Table + Wireless Charger - Black Glass 7290109761787,434,528,476,16162,13,26/06/23,,Caesarea,3,0,3,"4017,"
87813,7290109761794,NOA Sound Box V800W Multimedia Table + Wireless Charger - White Painting 7290109761794,434,528,476,16162,13,26/06/23,,Caesarea,1,0,1,"4010,"
89310,7290011879471,Gold Line Digital Microwave With Grill D90D25ESL-G1 7290011879471,360,577,450,19865,13,10/12/23,,Caesarea,3,0,2,"4004,"
89884,7290011879396,Gold Line Professional Mosquito And Insect Zapper 3X20W ATL-736 7290011879396,160,362,266,1298.333,13,26/06/23,,Caesarea,27,0,27,"4003,"
89885,7290010483877,Gold Line Professional Mosquito And Insect Zapper 2X20W ATL-735 7290010483877,160,362,266,1298.333,13,26/06/23,,Caesarea,10,0,10,"4003,"
90545,3016661148521,Tefal Inicio Grill Sandwich Toaster 2000W GC241D12 3016661148521 By Newpan,180,390,320,4050,13,03/10/23,,Caesarea,23,0,21,"4004,"
90575,HL-12,RL Integrated Bike Stand HL-12,97,287,200,687.5,13,10/12/23,,Caesarea,5,0,7,"4005,"
91584,,Little Tikes 3-in-1 Activity Walker Pink 71643095 50743643095,130,610,390,3605,13,26/06/23,,Caesarea,4,0,6,"4021,"
92000,3519280020785,Magimix Juice Expert 3 Citrus & Hard Fruits Juicer 400W Red JE3CMR 3519280020785 By Newpan,230,540,240,8100,13,03/10/23,,Caesarea,1,0,1,"4021,"
93766,7290001895344,Gold Line 16 Inch Stand Fan With Timer And Round Base ATL-906 7290001895344,130,600,450,7115,13,26/06/23,,Caesarea,8,0,8,"4003,"
93769,7290015062183,Gold Line 16 Inch Stand Fan LCD Touch  And Round Base ATL-915 7290015062183,130,600,450,7115,13,26/06/23,,Caesarea,5,0,4,"4010,"
93775,7290018225837,Gold Line 16 Inch Stand Fan 3 Blades ATL-905 7290018225837,130,600,450,7115,13,26/06/23,,Caesarea,76,0,74,"4002,"
93824,5099206081949,Logitech G Farm Simulator Heavy Equipment Bundle 945-000062 5099206081949,145,306,203,1492.222,13,26/06/23,,Caesarea,2,0,2,"4026,"
95119,,Native Instruments Traktor Kontrol S3 DJ Controller 4042477266608/4042477266615,96,446,223,1758.333,13,26/06/23,,Caesarea,8,0,10,"4005,"
95248,6921850654677,Norther P CLASSICO CCT 42 Inc 3 Wings Ceiling Fan Light Black NTP-CLS42-BK-LED 6921850654677,258,658,312,7340,13,26/06/23,,Caesarea,2,0,2,"4027,"
95255,6921850654691,Norther P VITTORIA CCT 52 Inch 3 Wings Ceiling Fan Black NTP-VTR52-BK-LED 6921850654691,256,682,348,7683.125,13,26/06/23,,Caesarea,1,0,1,"4018,"
95271,97914091040,Oscar DA-1200 Horizontal Slow Juicer Wider mouth 200W Silver DA1200S 97914091040,205,340,254,3609.688,13,27/06/23,,Caesarea,1,0,1,"4026,"
96473,7290005381935,Medic Spa Shiatsu Seat With Heat 2057 7290005381935,10,101,101,10,13,26/06/23,,Caesarea,1,0,1,"4025,"
99479,4054278305165,Karcher Cordless 36V Pressure Washer 110Bar K2 Battery PN: 1.117-220.0 4054278305165 - Shelldan,230,290,250,2770,13,26/06/23,,Caesarea,4,0,4,"4020,"
99748,3165140883795,Bosch Universal Aquatak 135 1900W High Pressure Washer (0 600 8A7 C00) 3165140883795 08A7.C,326,600,382,17393.333,13,26/06/23,,Caesarea,0,20,20,"4004,"
105386,8710364062775,Dremel Moto Saw F013MS20JA 8710364062775 Ledico,133,450,365,5055,15,10/08/23,,Caesarea,2,0,2,"4025,"
106997,5298002050092 8613570232522 ACS-32021120590310069,ExecutiveSafe Electronic Safe With Key ACS-3 16L 6.7kg UEMACS3 8613570232522 / 5298002050092,243,360,288,8010,15,11/05/23,,Caesarea,22,0,22,"4005,"
108275,7290014430396,Universe Saturday Thermos No Tvila NR-205 2L Tzomet & Halacha Approved Nirosta 3052225 7290014430396,233,311,298,2325,15,21/05/23,,Caesarea,2,0,0,"4020,"
108837,015378212108,Sage Non-Skid Carving Board 40X60cm Natural 147122014 15378212108,22,594,417,2805,15,04/02/24,END,Caesarea,2,0,2,"4027,"
110390,4974019128368,Sharp Touch Microwave Oven With Grill + Inverter 1200W 34L Black R-34IZ(BS) 4974019128368 - By Ralco,360,576,493,15995,15,10/08/23,,Caesarea,27,0,27,"4001,"
111048,7290111744372,Brateck TV Cart Up To 100KG / 60-100 Inch TTL03-610TW 81000-001-09 7290111744372,360,784,466,37330,15,06/08/23,,Caesarea,2,0,2,"4004,"
111061,743878041088,Klipsch Bookshelf Bluetooth Active Speakers The Fives (Pair) Black 743878041088,336,473,431,13685,15,01/08/23,,Caesarea,1,0,1,"4028,"
113364,4054278513652,Karcher Surface Cleaner T5 T-RACER PN: 2.644-084.0 4054278513652 - Shelldan,246,390,354,2380,15,11/05/23,,Caesarea,2,0,0,"4017,"
114225,4974019128344,Sharp Microwave Oven With Grill 900W 25L Black R-709ZB 4974019128344 - By Ralco,360,577,450,19865,15,12/07/23,,Caesarea,26,0,26,"4011,"
119608,8710103894698,Philips 1200 Series Coffee Machine 2xBeverage Black 576462 EP1200/00 8710103894698,282,479,467,11535,15,10/08/23,,Caesarea,9,0,21,"4002,"
124229,211125636050 4211125636050,Beurer Foot Spa BWMFB20 4211125636050,190,417,365,3040,15,07/08/23,,Caesarea,15,0,15,"4008,"
124243,4211125645069,Beurer Foot Massager BWMFM90 4211125645069,274,464,385,6570,15,07/08/23,,Caesarea,3,0,3,"4026,"
124891,6903366905177,Kendo 86 Pcs Tool Chest Set 46x24x28CM KD-890517 6903366905177,243,458,275,13735,15,02/08/23,,Caesarea,1,0,0,"4018,"
131164,4711174723973,Synology DiskStation DS1821+ 8-Bay 4711174723973 / 846504003976,298,447,358,8055,15,21/05/23,,Caesarea,1,0,1,"4027,"
132590,6942629286585,Tactix Support Stand 495 x 440 x 695MM 60KG MAX 330031 6942629286585,97,588,127,4230,15,30/07/23,,Caesarea,1,0,1,"4021,"
135650,7290005580031,Selmor Toaster Oven 34L White SE-34 7290005580031,361,562,410,10755,15,10/08/23,,Caesarea,1,0,1,"4023,"
166811,7290017090757,Gold Line Toaster Oven Black 21L 1280W ATL-6621 7290017090757,332,468,354,5535,15,12/07/23,,Caesarea,8,0,8,"4002,"
166818,7290017090931,Gold Line Electric Pan 1500W ATL-237 7290017090931,104,384,357,2725,15,22/05/23,,Caesarea,16,0,15,"4013,"
171665,638126846938,Spark Toys Battle Of Robots 638126846938,110,546,304,1060,15,04/05/23,,Caesarea,4,0,4,"4028,"
180506,4549292051254,Canon Maxify MB2150 Wireless AIO Printer AGBS05676 4549292051254,407,544,465,14145,15,08/08/23,,Caesarea,2,0,5,"4006,"
181556,195908303121,Printer HP Smart Tank 750 Wireless All-in-One (6UU47A) 195908303121,283,462,404,10240,15,31/07/23,,Caesarea,0,40,40,"4007,"
182124,7297043111173,Vardinon Grace Percale 100 Cotton Microfiber Winter Duvet Blanket - 150x200cm 3111173 7297043111173,194,562,418,3040,15,21/12/23,,Caesarea,1,0,1,"4023,"
182125,7297043111180,Vardinon Grace Percale 100 Cotton Microfiber Winter Duvet Blanket - 200x220cm 3111180 7297043111180,250,515,430,4490,15,21/12/23,,Caesarea,4,0,4,"4023,"
182949,6939962611488,Midea Gas Stove 2 Flames 30CM Stainless Steel 30G20MA005-SFN 6734 6939962611488,157,563,356,6765,15,08/08/23,,Caesarea,4,0,5,"4017,"
186644,195908302865,Printer HP Smart Tank 790 Wireless All-in-One (4WF66A) 195908302865,285,470,401,10395,15,31/07/23,,Caesarea,1,40,40,"4007,"
187839,8720389003394,Saeco GranAroma Coffee Machine 14xBeverage Black 576630 SM6580/00 8720389003394,310,470,467,13915,15,10/08/23,,Caesarea,13,0,19,"4002,4007,"
188704,8696272011282,Super-Bag Monoblock Drawer And Organizer Big 18 Drawers 170125-006 8696272011282 By Smith,156,468,376,3030,15,07/08/23,,Caesarea,3,0,3,"4020,"
189497,7290111748813,Brateck Height Adjustable Mobile Workstation White G02-22DR-B 81000-002-33 7290111748813,126,987,650,19320,15,06/08/23,,Caesarea,1,0,1,"4005,"
190238,7290114430975,Dragon Cyber Gaming Chair Leather Like White GPDRC-CYBER-W 7290114430975 - Isfar,284,833,562,21635,15,10/08/23,,Caesarea,2,0,0,"4009,"
190264,095205069303,Xerox B235V DNI WiFi Multifunction Laser Printer (Copier Printer Scanner Fax),422,544,428,13360,15,27/07/23,,Caesarea,9,0,10,"4005,4006,"
191998,731304410799,APC Back-UPS 750VA/410Watts 4x Outlets BX750MI 731304410799,190,424,238,6475,15,22/05/23,END,Caesarea,19,0,21,"4003,"
194017,1607211788117,Skater ABEC 7 Cool Basic Scooter - Blue 788117 1607211788117,136,555,257,2075,15,19/09/24,,Caesarea,3,0,0,"4025,"
197669,3165140810173,Bosch Ghp 5-65X 2400W Professional High Pressure Washer (0 600 910 600) 3165140810173 0910.6,371,761,450,27870,15,06/08/23,,Caesarea,2,0,2,"4002,"
199196,4054278785875,Karcher High Pressure Washer 130 Bar K4 Power Control Home 1.324-033.0 4054278785875 Shelldan,382,562,489,17815,15,07/08/23,,Caesarea,6,0,5,"4001,"
202718,638126848758,Spark Toys Animals and Smiles Hebrew Playmat 638126848758,103,577,495,1490,15,06/08/23,,Caesarea,1,0,1,"4022,"
206196,6856741588840,Norther P Atlanta 56 Inch 3 Wings Ceiling Fan White NTP-ATLIP44-LED-WH 6856741588840,243,717,292,10285,15,10/08/23,,Caesarea,2,0,2,"4027,"
206252,7290004574499,Barkan  Fixed Floor Stand TV Mount - Swivel Tilt & Height Adjustment 13-83 Inch FS420 7290004574499,129,737,265,7560,15,10/08/23,,Caesarea,4,0,4,"4019,"
208989,4059952531144,Bosch GCM 216 1300W Compound Mitre Saw (0 601 B33 000) 4059952531144 1B33,355,549,430,11760,15,31/07/23,,Caesarea,1,0,1,"4017,"
209823,,HPE Aruba Instant On 1930 48-Port Gigabit and 4-Port SFP+ Switch JL685A,133,576,330,5290,15,07/08/23,,Caesarea,1,0,2,"4028,"
212664,7290018657379,Gold Line 48 Inch Ceiling Fan With Light Remote Control White ATL-8048W 7290018657379,252,598,388,6750,15,12/07/23,,Caesarea,2,0,2,"4010,"
213447,4001702021337,Bruder John Deere 1210E Forwarder with 4 Trunks and Grab 530-2133 4001702021337,248,633,540,2060,15,03/08/23,,Caesarea,1,0,1,"4018,"
214606,5621111274460 8264722374463,Benaton BT-7446 16 Inch Round Base Standing Fan 5621111274460,134,476,461,4515,15,30/07/23,,Caesarea,21,0,21,"4011,"
217819,3362934112028,Thrustmaster T-GTII Gran Turismo Edition Racing Wheel Set For PS4/PS5 & PC 4160823 3362934112028,328,533,404,14410,15,06/08/23,END,Caesarea,1,0,1,"4018,"
220661,90100916,Yale Standard Series Digital Safe For Laptop With Key 7.5KG 90100916,227,441,375,10570,15,06/08/23,,Caesarea,1,0,1,"4014,"
222013,7291057098741,Hunter Leaf Blower/Vacum/Crushing 3000W 103002-002 7291057098741,247,460,266,3970,15,07/08/23,,Caesarea,67,0,72,"4009,4011,4012,4014,"
222054,307845021,Carne Perforated Pizza Peel 40x45cm 307845021,5,325,7,3165,15,10/08/23,,Caesarea,4,0,4,"4025,"
222171,7290114430890,Dragon Boss Office Executive Chair Brown GPDRC-BOS-BR 7290114430890 - Isfar,422,890,641,22475,15,10/08/23,END,Caesarea,1,0,1,"4003,"
227395,7290019089360,Bpower Solar Electric Round Parking Barrier With A Remote  7290019089360,115,465,450,7235,15,07/08/23,,Caesarea,4,0,1,"4010,"
228072,7290117054420,Food Appeal Select Stainless Steel Pot 30cm 9.8L 7290117054420,183,325,321,3535,15,07/05/23,,Caesarea,4,0,4,"4019,"
229491,4895018237120,Skyworth 55 Inch QLED 4K HDR Pro TV With Netflix 55SUE9500 4895018237120 SG,140,1340,820,0,15,13/07/23,,Caesarea,5,0,5,"4016,"
231830,3121040070628,Tefal Express Anti-Calc Steam Generator 2830W SV8012E0 3121040070628  By Newpan,283,378,326,4075,15,13/07/23,EOL,Caesarea,6,0,4,"4010,"
232031,7290105778963,Delonghi Digital Microwave 29L 1450W Nirosta/Black Glass DL-2029 7290105778963 - By Brimag,316,531,435,15350,15,13/07/23,,Caesarea,1,0,-1,"4001,"
232995,8710755303586,Brabantia Mind Set Pretty Towel Stand White Y-303586 8710755303586,55,582,102,785,15,12/07/23,,Caesarea,4,0,4,"4019,"
233771,638126847621,Spark Toys Sound Train Activity Table 0638126847621,168,372,362,2285,15,12/03/24,,Caesarea,1,0,1,"4022,"
233921,6943478002289,Hape Grow With Me Rocking Horse E0100 6943478002289,110,654,358,3980,15,06/08/23,,Caesarea,2,0,2,"4018,"
236700,72961926209,Baby Boss Pluma Baby High Chair Cream 72961926209,275,869,555,9020,15,06/08/23,,Caesarea,12,0,6,"4005,"
236869,4054278834221,Karcher Cordless Vacuum Cleaner Haf Horican Air Flow VC6 PN: 1.198-660.0 4054278834221 -Shelldan,144,739,329,5830,15,07/08/23,,Caesarea,2,0,2,"4004,"
237221,4001702024581,Bruder Volvo Wheel loader L260H 530-2458 4001702024581,234,636,538,2025,15,03/08/23,,Caesarea,1,0,1,"4019,"
238138,3165140935630,Bosch Easyaquatak 120 1500W High Pressure Washer (0 600 8A7 901) 3165140935630 08A7.901,192,397,369,6350,15,31/07/23,,Caesarea,1,0,0,"4003,"
239942,6972790741422,Yeedi Floor 3 Station Robot Vacuum And Mop YDTX11 6972790741422 - By Ronlight,507,534,523,19495,15,08/08/23,,Caesarea,1,0,1,"4003,"
240000,743878047806,Klipsch Bookshelf Bluetooth Active Speakers The Sevens (Pair) Walnut 743878047806,405,567,545,23405,15,12/07/23,END,Caesarea,1,0,1,"4019,"
240054,785571730333,Yamayo Baby Folding Bath Peach YBB-100 785571730333,103,802,496,2435,15,13/07/23,,Caesarea,15,0,15,"4005,"
240056,785571730357,Yamayo Baby Folding Bath Gray/White YBB-100 785571730357,104,794,490,4290,15,13/07/23,,Caesarea,62,0,62,"4006,"
240059,785571730364,Yamayo Baby Folding Bath Blue/Light Blue YBB-100 785571730364,98,764,521,2430,15,13/07/23,,Caesarea,1,0,1,"4017,"
240096,4974019606767,Sharp Digital Microwave Flatbed Inverter 1200W 32L R-327FH(S) 4974019606767 - By Ralco,380,587,487,14500,15,08/08/23,,Caesarea,23,0,23,"4003,"
240418,194735028979,Hot Wheels Attacking Shark Escape Trackset HDP06 02504076MAT 194735028979,86,537,354,2830,15,07/08/23,WTF,Caesarea,7,0,7,"4005,"
240435,6972200198457,Tineco iFloor Breeze Cordless All in One Hard Floor Cleaner 6972200198457,312,660,321,8105,15,02/08/23,,Caesarea,11,0,15,"4003,"
240877,9780201379723 9780201399073,SAFA CA-001 Record Case For 30 Records Black 9780201399073 2801,214,404,404,4475,15,10/08/23,,Caesarea,1,1,1,"4020,"
240988,5413184603373,KitchenAid Food Processor 2.1L 250W Red 5KFP0919EER 5413184603373 - By Newpan,242,433,314,4530,15,22/05/23,EOL,Caesarea,8,0,8,"4023,"
241869,3519280116563,Magimix Professional Food slicer 260RPM 120W T-250 3519280116563 By Newpan,405,530,466,15705,15,13/07/23,,Caesarea,1,0,1,"4020,"
244272,03138522120894 3138522120894,Coleman Steel Deck Chair Gray 2000038340 03138522120894,179,725,380,7165,15,10/08/23,,Caesarea,1,0,0,"4010,"
244310,3519280115825,Magimix Multifunction Steamer Pot 1900W 11582 3519280115825 By Newpan,316,398,342,5675,15,13/07/23,,Caesarea,1,0,0,"4021,"
244410,043859769025,Fellowes Paper Shredder Mini Cut 12L LX25M 43859771219 DSS4170601,234,362,323,4885,15,14/05/23,,Caesarea,11,0,9,"4006,"
